ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12342005,JE201269,4/16/2021 14:00,056XX S THROOP ST,340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,VEHICLE NON-COMMERCIAL,FALSE,FALSE,713,7,16,67,3,1168618,1867468,2021,4/23/2021 16:51,41.79185648,-87.65724342,"(41.791856481, -87.65724342)"
12341599,JE200954,4/16/2021 9:48,031XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,912,9,12,59,6,1166183,1883676,2021,4/23/2021 16:51,41.83638523,-87.66571041,"(41.836385231, -87.66571041)"
12345482,JE205649,3/30/2021 14:50,042XX W FORD CITY DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,833,8,18,65,11,1149271,1853250,2021,4/23/2021 16:49,41.75323557,-87.72855276,"(41.753235568, -87.728552759)"
12343339,JE203150,4/16/2021 12:00,003XX W 117TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,522,5,34,53,11,1176162,1827341,2021,4/23/2021 16:51,41.68157674,-87.63078215,"(41.681576744, -87.630782147)"
12345662,JE205917,4/14/2021 16:18,037XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,212,2,4,36,08A,1181886,1880202,2021,4/23/2021 16:49,41.82650297,-87.60819842,"(41.826502965, -87.608198422)"
12013756,JD190912,3/20/2020 2:18,016XX N MILWAUKEE AVE,610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,FALSE,FALSE,1434,14,2,24,5,1162627,1910739,2020,3/27/2020 15:48,41.91072362,-87.67800053,"(41.910723622, -87.67800053)"
12345733,JE205793,3/31/2021 15:01,054XX S LOOMIS BLVD,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,934,9,20,61,6,1167925,1868574,2021,4/23/2021 16:49,41.7949064,-87.65975275,"(41.794906402, -87.659752752)"
12345847,JE205512,4/16/2021 2:35,067XX N NEWGARD AVE,820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,2432,24,49,1,6,,,2021,4/23/2021 16:51,,,
12341834,JE201268,4/16/2021 16:01,063XX S ELIZABETH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,724,7,16,67,15,1169078,1862695,2021,4/23/2021 16:51,41.77874886,-87.65569462,"(41.778748862, -87.655694617)"
12341333,JE200711,4/16/2021 0:00,052XX W FULTON ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1523,15,28,25,08A,1141179,1901435,2021,4/23/2021 16:51,41.88561499,-87.75702305,"(41.885614994, -87.757023049)"
12016720,JD194190,3/20/2020 18:30,020XX S LOOMIS ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,1235,12,25,31,26,1167350,1890442,2020,3/27/2020 15:48,41.8549268,-87.66123397,"(41.854926796, -87.661233965)"
12449112,JE332902,7/30/2021 19:00,003XX E RANDOLPH ST,870,THEFT,POCKET-PICKING,PARK PROPERTY,FALSE,FALSE,114,1,42,32,6,1178694,1901250,2021,8/12/2021 16:59,41.88433336,-87.61926694,"(41.884333364, -87.619266937)"
12341393,JE200708,4/16/2021 0:05,122XX S LOWE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,523,5,34,53,14,1174191,1823775,2021,4/23/2021 16:51,41.67183495,-87.63810239,"(41.671834945, -87.638102391)"
12342706,JE202092,4/16/2021 10:00,026XX W 21ST PL,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),FALSE,FALSE,1023,10,24,30,11,1159149,1889631,2021,4/23/2021 16:51,41.85287353,-87.69135751,"(41.852873532, -87.691357505)"
12345332,JE205477,4/9/2021 8:00,063XX S EBERHART AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,312,3,20,42,26,1180667,1863135,2021,4/23/2021 16:49,41.77969781,-87.61319526,"(41.779697806, -87.613195258)"
12444961,JE327670,8/5/2021 5:30,103XX S CORLISS AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,FALSE,FALSE,512,5,9,50,5,1183399,1836684,2021,8/12/2021 17:02,41.70705018,-87.60400139,"(41.707050176, -87.60400139)"
12341712,JE200947,4/16/2021 9:15,113XX S MORGAN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,PARK PROPERTY,FALSE,FALSE,2234,22,34,75,04A,1171683,1829656,2021,4/23/2021 16:51,41.68802854,-87.64711022,"(41.688028536, -87.647110218)"
12341498,JE200896,4/16/2021 3:30,079XX S ELLIS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,624,6,8,44,7,1184267,1852664,2021,4/23/2021 16:51,41.75088089,-87.60032448,"(41.750880891, -87.600324481)"
12016728,JD194154,3/15/2020 3:40,056XX W WASHINGTON BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1513,15,29,25,26,1138461,1900176,2020,3/27/2020 15:47,41.88220979,-87.76703474,"(41.882209791, -87.76703474)"
12341701,JE200875,4/16/2021 7:00,097XX S MERRION AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,431,4,7,51,14,1192686,1840712,2021,4/23/2021 16:51,41.71788255,-87.5698622,"(41.717882545, -87.569862197)"
12342489,JE202039,4/16/2021 22:00,038XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1733,17,33,16,14,1154371,1925361,2021,4/23/2021 16:51,41.95101662,-87.70793835,"(41.951016616, -87.707938347)"
12444411,JE327250,8/5/2021 15:00,092XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2223,22,21,73,14,1171607,1843472,2021,8/12/2021 17:02,41.7259434,-87.64698532,"(41.725943396, -87.646985317)"
12341626,JE200920,4/16/2021 9:34,030XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,FALSE,TRUE,1124,11,28,27,08B,1156343,1898537,2021,4/23/2021 16:51,41.87736964,-87.70141585,"(41.877369643, -87.701415852)"
